,grp,x,y
0,A,1.651515588052288,0.6042276764348598
1,A,0.7235349350628204,0.838422758835592
2,A,0.7277120585230018,1.6404837030653967
3,A,0.24056619270541968,-0.08671339648505061
4,A,-0.16423646885878607,1.524442591897191
5,A,1.3466681889710834,0.9000821709108042
6,A,0.5848035754934775,1.5211268091100392
7,A,1.0759321102871808,1.1394040264016763
8,A,1.1710452912617166,1.4856974419102638
9,A,0.5556990158413819,0.5725807834021945
10,A,1.2178453775245068,0.9717946652563645
11,A,1.6460026357508086,0.9500593421538217
12,A,0.6778170840467955,0.7794455131668001
13,A,1.186444091929437,0.4340429083605435
14,A,1.4035379976903057,1.2261945524032156
15,A,1.340093317990339,0.2067559389130582
16,A,1.6027652280589533,0.5306164191254099
17,A,1.0418920035270718,0.690159583277013
18,A,1.245949587994491,0.5451777169013642
19,A,1.485289603874786,1.6134272716076794
20,A,0.9836236380749591,1.691464934322502
21,A,1.1487782607354942,1.1589579916863493
22,A,0.24137313962975226,1.7316971288051863
23,A,0.031151026331156184,1.1623430558009584
24,A,0.6674339522931729,1.4526151689541584
25,A,0.5987337260079363,1.5221719106267035
26,A,1.433520938637009,0.07168964221018004
27,A,0.16379628758035925,0.7840681342272937
28,A,0.9483218867860621,1.0128577691819693
29,A,1.2377759090910523,0.6751711229395552
0,B,2.4532653227415824,3.063730318413253
1,B,2.8843912485895578,3.031907768614619
2,B,3.535846656158037,3.4240481948792443
3,B,2.9035876038579387,3.5192874493192488
4,B,2.530455757590113,3.4334519079082977
5,B,3.441944265413768,2.9903004751939344
6,B,2.2076365136191116,3.420148447806186
7,B,2.329126415185665,3.032144479098513
8,B,2.9044119856837494,3.436059878371216
9,B,2.7726165208223597,3.7632352637191593
10,B,2.966847133707141,3.0485765712887574
11,B,3.079005119380991,3.1710642993616096
12,B,3.7072533536288077,3.6319973333408395
13,B,2.657322087019515,2.9783018231969134
14,B,3.2546803500430777,2.624326675584191
15,B,2.965848064410306,2.878422713084871
16,B,3.4691313785511824,4.131791131476999
17,B,3.0194166744774225,2.9702456971445628
18,B,2.8534361929800913,2.9830596130435367
19,B,3.3477695964774212,2.5113508676645235
20,B,3.381816949578199,3.2454291184351036
21,B,2.910102285700749,2.774676738914764
22,B,2.8413284187215573,2.859300660711118
23,B,2.2962370530879626,3.3839810078442536
24,B,2.5677969159517637,3.550061090803929
25,B,3.6761617728401266,2.8290581005167725
26,B,3.299683982407595,3.5010214902281076
27,B,2.493823404934533,3.91556543766011
28,B,2.2500387638616712,2.60922496182087
29,B,3.4059390832198244,4.397162729796884
